Dataset,Model,Configuration,Accuracy,Precision,Recall,F1,Duration (s),Qubits,Layers
Moons,QFNN,Phase and Measure,0.43333333333333335,0.3888888888888889,0.5384615384615384,0.45161290322580644,115991.460859,2,3
Moons,QBPNN,Phase and Measure,0.43333333333333335,0.3888888888888889,0.5384615384615384,0.45161290322580644,116316.688635,2,6
Circles,QFNN,Phase and Measure,0.7,0.625,0.7692307692307693,0.6896551724137931,116640.602696,2,3
Circles,QBPNN,Phase and Measure,0.7,0.625,0.7692307692307693,0.6896551724137931,117392.130751,2,6
Linear Blobs,QFNN,Phase and Measure,0.5,0.5,0.5333333333333333,0.5161290322580645,123552.096677,2,3
Linear Blobs,QBPNN,Phase and Measure,0.5,0.5,0.5333333333333333,0.5161290322580645,123785.279406,2,6
Moons,QFNN,Interference and Measure,0.43333333333333335,0.43333333333333335,1.0,0.6046511627906976,177770.338355,2,3
Linear Blobs,QFNN,Interference and Measure,0.5,0.5,1.0,0.6666666666666666,178143.114207,2,3
Circles,QFNN,Interference and Measure,0.43333333333333335,0.43333333333333335,1.0,0.6046511627906976,178387.251127,2,3
Gaussian Quantiles,QBPNN,Phase and Measure,0.5333333333333333,0.6,0.5294117647058824,0.5625,122267.254027,2,6
Gaussian Quantiles,QFNN,Phase and Measure,0.5,0.5625,0.5294117647058824,0.5454545454545454,126876.583825,2,3
Iris (2D),QFNN,Phase and Measure,0.6666666666666666,0.6666666666666666,0.9473684210526315,0.782608695652174,110362.268652,2,3
Gaussian Quantiles,QFNN,Interference and Measure,0.5666666666666667,0.5666666666666667,1.0,0.723404255319149,177712.567287,2,3
Moons,QFNN,All,0.43333333333333335,0.3888888888888889,0.5384615384615384,0.45161290322580644,312626.486213,2,3
Circles,QFNN,All,0.7,0.625,0.7692307692307693,0.6896551724137931,341103.429935,2,3
Iris (2D),QBPNN,Phase and Measure,0.6666666666666666,0.6666666666666666,0.9473684210526315,0.782608695652174,108676.376894,2,6
Iris (2D),QFNN,Interference and Measure,0.6333333333333333,0.6333333333333333,1.0,0.7755102040816326,172959.754143,2,3
Linear Blobs,QFNN,All,0.5,0.5,0.5333333333333333,0.5161290322580645,356685.702196,2,3
Gaussian Quantiles,QFNN,All,0.4,0.48,0.7058823529411765,0.5714285714285714,288310.776682,2,3
XOR,QBPNN,Phase and Measure,0.4666666666666667,0.4666666666666667,1.0,0.6363636363636364,434993.456989,2,6
XOR,QFNN,Phase and Measure,0.4666666666666667,0.4666666666666667,1.0,0.6363636363636364,435272.078755,2,3
Iris (2D),QFNN,All,0.6666666666666666,0.6666666666666666,0.9473684210526315,0.782608695652174,281895.192556,2,3
XOR,QFNN,Interference and Measure,0.4666666666666667,0.4666666666666667,1.0,0.6363636363636364,554454.414794,2,3
Moons,QBPNN,Interference and Measure,0.5333333333333333,0.47619047619047616,0.7692307692307693,0.5882352941176471,561752.03224,2,6
Linear Blobs,QBPNN,Interference and Measure,1.0,1.0,1.0,1.0,569256.867161,2,6
Circles,QBPNN,Interference and Measure,0.8666666666666667,0.7647058823529411,1.0,0.8666666666666667,589411.331872,2,6
Gaussian Quantiles,QBPNN,Interference and Measure,0.6666666666666666,0.6521739130434783,0.8823529411764706,0.75,471548.968784,2,6
Circles,QBPNN,All,0.9666666666666667,0.9285714285714286,1.0,0.9629629629629629,610737.721063,2,6
Moons,QBPNN,All,0.8,0.6842105263157895,1.0,0.8125,634683.97013,2,6
Gaussian Quantiles,QBPNN,All,0.8333333333333334,0.9285714285714286,0.7647058823529411,0.8387096774193549,533071.955162,2,6
Iris (2D),QBPNN,Interference and Measure,0.6666666666666666,0.68,0.8947368421052632,0.7727272727272727,433542.757509,2,6
Linear Blobs,QBPNN,All,1.0,1.0,1.0,1.0,677639.118045,2,6
Iris (2D),QBPNN,All,0.8333333333333334,0.85,0.8947368421052632,0.8717948717948718,412777.321033,2,6
XOR,QFNN,All,0.5333333333333333,0.0,0.0,0.0,718511.830793,2,3
XOR,QBPNN,Interference and Measure,0.4666666666666667,0.4666666666666667,1.0,0.6363636363636364,788069.664348,2,6
XOR,QBPNN,All,1.0,1.0,1.0,1.0,790939.589557,2,6
